ID,Nome,Link Detalhes,Nome Petisco,Descricao,Endereco,Link Imagem
22799,Alexandre’s Bar,https://comidadibuteco.com.br/buteco/alexandres-bar/,O fabuloso discão,Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134138/alexandresbar_fabulosodiscao_bh_2025_isaquerodrigues_unibh-8111-scaled.jpg
324006,Amarelim do Prado,https://comidadibuteco.com.br/buteco/amarelim-do-prado/,Trem de roças,"Bochecha de porco na cama de angu mole, pesto de horta, mandioca e agrião. Acompanha pão e patê de fígado de galinha.","Avenida Francisco Sá, 658 | Prado, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134238/amarelimdoprado_tremderocas_bh_2025_isaquerodrigues_unibh-7527-scaled.jpg
230593,Andrade’s Beer,https://comidadibuteco.com.br/buteco/andrades-beer/,Chora canelinha,"Ossobuco com purê de batatas, acompanhado de torradas de alho-poró.","Rua Dona Geni, 32 | Jardim Florência (Venda Nova), Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134640/andradesbeer_choracanelinha_bh_2025_rodneycosta_unibh-9247-scaled.jpg
351721,Arcos Bar,https://comidadibuteco.com.br/buteco/arcos-bar/,Panela da Diversidade,"Acém cozido com ervas finas, acompanhado com batata rústica.","Rua da Bahia, 1144 | Centro, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051259/arcos_pratodadiversidade_bh_2025_rodneycosta_unibh-7624-scaled.jpg
288824,Armazém Santa Amélia,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,Segredo do Armazém,"Polenta cremosa com ragu de carnes cheio de sabor, agrião fresco, crispy de parmesão e um toque secreto para abrilhantar as Bodas de Prata do Comida di Buteco.","Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19135257/armazemsantaamelia_segredodoarmazem_bh_2025_isaquerodrigues_unibh-7616-scaled.jpg
321258,Avalanche Espeteria,https://comidadibuteco.com.br/buteco/avalanche-espeteria/,Milão Maluco,"Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.","Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19140742/avalanche_milaomaluco_bh_2025_rodneycosta_unibh-8764-scaled.jpg
316973,Azougue Fogo e Bar,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,Língua da vovó Virinha,"Língua de boi assada, sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.","Rua do Ouro, 835 | Serra, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051233/azougue_linguadevovovirinha_bh_2025_isaquerodrigues_unibh-7366-scaled.jpg
5474,Baiuca,https://comidadibuteco.com.br/buteco/baiuca/,Canelada Suína,"Panturrilha suína, mandioca cozida com queijo e manteiga, cebola assada e crispy de couve.","Rua Piauí, 1884 | Funcionários, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142244/baiuca_caneladasuina_bh_2025_rodneycosta_unibh-7505-scaled.jpg
383871,Bar Bambú,https://comidadibuteco.com.br/buteco/3231-revision-v1/,Camarão que dorme?,Batata recheada com strogonoff de camarão.,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051202/barbambu_camaraoquedorme_bh_2025_fernandaoliveira_unibh-8355-scaled.jpg
390140,Bar Bendita Baderna,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,PARABÉNS CDB,"Coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho-poró com queijo canastra.","Rua Silva Fortes, 47 | União, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142754/benditabaderna_parabenscdb_bh_2025_rodneycosta_unibh-8203-scaled.jpg
189322,Bar da Cíntia,https://comidadibuteco.com.br/buteco/bar-da-cintia/,Língua bêbada,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.","Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142858/bardacinthia_linguabeba_bh_2025_rodneycosta_unibh-8675-scaled.jpg
311169,Bar da Fia,https://comidadibuteco.com.br/buteco/bar-da-fia/,Língua no rabo,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.","Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051142/bardafia_linguanorabo_bh_2025_rodneycosta_unibh-7352-scaled.jpg
265353,Bar da Lu,https://comidadibuteco.com.br/buteco/bar-da-lu/,Barril Mineiro Sô,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.","Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143046/bardalu_barrilmineiroso_bh_2025_rodneycosta_unibh-8734-scaled.jpg
275238,Bar da Silvânia,https://comidadibuteco.com.br/buteco/bar-da-silvania/,"Õ trem bão, sô",Maçã de peito com mandioquinha e torradas de pão francês.,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050951/bardasilvania_otrembaumso_bh_2025_rodneycosta_unibh-8183-scaled.jpg
215600,Bar do Bartolomeu,https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/,"Bem Bolado, Uai!!",Bolinho de rabada com catupiry e alho-poró. Acompanhado com molho da casa e molho de geleia de pimenta.,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051018/bardobartolomeu_bembolado_bh_2025_fernandaoliveira_unibh-8039-scaled.jpg
472756,Bar do Bem,https://comidadibuteco.com.br/buteco/bar-do-bem/,A Furiosa,"Miolo de acém cozido na cerveja e tempero da casa, servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.","RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143452/bardobem_furiosa_bh_2025_rodneycosta_unibh-9134-scaled.jpg
278229,Bar do Kim,https://comidadibuteco.com.br/buteco/bar-do-kim/,Músculo à moda Kim!,"Músculo bovino acompanhado de champignon, acompanhado de torradas.","Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19143850/bardokim_musculoamodadokim_bh_2025_isaquerodrigues_unibh-9323-scaled.jpg
293474,Bar do Nelson,https://comidadibuteco.com.br/buteco/bar-do-nelson/,Bolinho de prata,Bolinho de feijoada na cama de couve crispy.,"Avenida Vicente Risola, 1000 | Santa Inês, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145234/bardonelson_bolinhodeprata_bh_2025_amandacantanhede_unibh-9036-scaled.jpg
188159,Bar do Primo,https://comidadibuteco.com.br/buteco/bar-do-primo/,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco.,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145355/primo_costelinhadebuteco_bh_2025_isaquerodrigues_unibh-8526-scaled.jpg
150592,Bar do Regis,https://comidadibuteco.com.br/buteco/24790-revision-v1/,Trilhas de Minas,"Almôndegas ao molho de tomates, servidas com polenta.","Rua Gávea, 422 | Jardim América, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050928/bardoregis_trilhademinas_bh_2025_amandacantanhede_unibh-8270-scaled.jpg
0,Bar do Romeu,https://comidadibuteco.com.br/buteco/5665-revision-v1/,Pé no Rabo,"Rabada com pé de porco acompanhada de farofa de abacaxi, geleia de pimenta e torradinha.","Rua Aniri, 8 | Guarani, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050906/bardoromeu_penorabo_bh_2025_rodneycosta_unibh-7542-scaled.jpg
139055,Bar dos Meninos,https://comidadibuteco.com.br/buteco/bar-dos-meninos/,Bodas de prata,"Costelinha suína, marinada em vinho tinto, servida com mostarda em folhas, acompanhada de creme de batata.","Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19145725/bardosmeninos_bodasdeprata_bh_2025_rodneycosta_unibh-8218-scaled.jpg
168735,Bar Du Du,https://comidadibuteco.com.br/buteco/bar-du-du/,Porco sem vergonha,"Picadinho de carne de porco ao molho, acompanhado de um creme de batata.","Rua Violeta, 369 | Esplanada, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/16083316/bardudu_porcosemvergonha_bh_2025_isaquerodrigues_unibh-8899-scaled.jpg
141036,Bar e Restaurante Bom Sabor,https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/,Bora Comemorar,"Fraldinha de boi recheada com carne moída de porco, bacon e muçarela, assado na churrasqueira. Acompanhado de farofa e vinagrete.","Rua Java, 386 | Nova Suíça, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070354/restbomsabor_boracomemorar_bh_2025_amandacantanhede_unibh-9066-scaled.jpg
381807,Bar e Restaurante do Joãozinho,https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-joaozinho/,Trio Mineiro,"Quarteto: carne de lata bovina frita, torresmo pururuca, queijo temperado à moda da casa, molho de alho-poró.","Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/24070652/bardojoaozinho_triomineiro_bh_2025_rodneycosta_unibh-7419-scaled.jpg
18661,Bar Estabelecimento,https://comidadibuteco.com.br/buteco/bar-estabelecimento/,Tipracas,"Pelotas de rabada com angu de agrião em molho de tomate com cebola e tipracas (tipo bolachas feitas com arroz, feijão roxinho, queijo e especiarias.)","Rua Monte Alegre, 160 | Serra, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/07104420/barestabelecimento_tipracas_bh_2025_rodneycosta_unibh-8153-scaled.jpg
396042,Bar Junto Juntinho,https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,Poliamor Culinário,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve crispy e geleia de abacaxi apimentada.","Rua Cura D’Ars, 542 | Prado, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10075811/barjuntojuntinho_poliamorculinario_bh_2025_rodneycosta_unibh-1725-1-1-scaled.jpg
79996,Bar Mania Mineira,https://comidadibuteco.com.br/buteco/5668-revision-v1/,Explosão de Sabor,Bolinho de mandioca recheado com queijo.,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-scaled.jpg
1348,Bar Pompéu,https://comidadibuteco.com.br/buteco/3135-revision-v1/,É mas num é,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.","Rua São Miguel, 779 | Itapoã, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050703/pompeu_emasnume_bh_2025_rodneycosta_unibh-8144-scaled.jpg
229070,Bar Stella,https://comidadibuteco.com.br/buteco/bar-stella/,Boi bebum,"Maçã de peito ao molho de vinho, acompanhada de farofa d’água e mandioca na manteiga de garrafa.","Avenida Saramenha, 1599 | Guarani, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150007/barstella_boibebum_bh_2025_amandacantanhede_unibh-7586-scaled.jpg
7061,Bar Temático Sta. Teresa,https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/,#CDB – 25 anos de sucesso – Arrumado,"Carne de sol, feijão-de-corda, farofa e vinagrete e manteiga de garrafa.","Rua Pirite, 187 | Santa Teresa, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg
201430,Barrigudinha Buteco,https://comidadibuteco.com.br/buteco/barrigudinha-buteco/,Bodas no prato: Rib ao molho Rubi,Costelinha de porco ao molho rubi.,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050518/barrigudinha_bodasaopradoribaomolhorubi_bh_2025_rodneycosta_unibh-8195-scaled.jpg
186689,Barzim dos amigos,https://comidadibuteco.com.br/buteco/barzim-dos-amigos/,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150257/bardosamigos_porpetadebuteco_bh_2025_isaquerodrigues_unibh-7775-scaled.jpg
31119,Bazin Bar,https://comidadibuteco.com.br/buteco/bazin-bar/,Bodas de Prata,Carne de panela acompanhada de angu e ora-pro-nóbis.,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150411/bazim_bodasdeprata_bh_2025_rodneycosta_unibh-8388-scaled.jpg
393108,Beco Restaurante,https://comidadibuteco.com.br/buteco/beco-restaurante/,Lá di Casa,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve.","Rua Tamoios, 232 | Centro, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150511/becorestaurante_ladicasa_bh_2025_fernandaoliveira_unibh-8137-scaled.jpg
509418,Benjamin Bar,https://comidadibuteco.com.br/buteco/benjamin-bar/,Boizinho no milharal,"Costela bovina regada no molho roti, acompanhada de quirera de milho com queijo canastra meia cura e milho verde cozido.","Rua Coronel José Benjamim, 770 | Padre Eustáquio, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050454/benjamin_boizimnomilharal_bh_2025_isaquerodrigues_unibh-7748-scaled.jpg
298450,Boteco 86,https://comidadibuteco.com.br/buteco/boteco-86/,Bolinho Nordestino,Bolinho de aipim com carne seca e requeijão.,"Rua Jacarina, 86 | Padre Eustáquio, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150606/boteco86_bolinhonordestino_bh_2025_isaquerodrigues_unibh-7714-scaled.jpg
202126,Botequim Buritis,https://comidadibuteco.com.br/buteco/botequim-buritis/,Butequeiro 25,"Lombinho suíno na lata, acompanhado de mandioquinha frita ao molho cremoso raiz.","Rua Vitório Magnavaca, 39 | Buritis, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050402/botequimburitis_butequeiro_bh_2025_isaquerodrigues_unibh-7665-scaled.jpg
192089,Botequim de Lourdes,https://comidadibuteco.com.br/buteco/botequim-de-lurdes/,Rocambole de Torresmo que só no Botequim tem,"Torresmo de barriga marinado na cachaça, servido com palitinhos de tapioca e geleia de abacaxi com pimenta e canela.","Rua Curitiba, 2039 | Lourdes, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150737/butequimlourdes_rocamboledetorresmoquesoobutequimtem_bh_2025_rodneycosta_unibh-9228-scaled.jpg
65939,Buteco do Lili,https://comidadibuteco.com.br/buteco/3151-autosave-v1/,Sabores de Prata,"Fraldinha de panela ao molho roti, acompanhada de batata ao murro e pães de queijo fritos.","Rua Líbero Badaró, 493 | Dona Clara, Belo Horizonte – MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050340/butecodolili_saboresdeprata_bh_2025_rodneycosta_unibh-8489-scaled.jpg
