Estabelecimento,Complemento,Descricao,Endereço,Horario,Prato,Telefone
Alexandre’s Bar,Loja 01,Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte – MG","Terça, das 17h às 23h | Quarta, das 17h às 23h | Quinta, das 17h às 23h | Sexta, das 17h às 23h | Sábado, das 12h às 22h | Domingo, das 12h às 22h |",O fabuloso discão,31997753957
Amarelim do Prado,,"Bochecha de porco na cama de angu mole, pesto de horta, mandioca e agrião. Acompanha pão e patê de fígado de galinha.","Avenida Francisco Sá, 658 | Prado, Belo Horizonte – MG","Segunda, das 11h à 0h | Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 22h |",Trem de roças,31 981084068 / 31 25273847
Andrade’s Beer,,"Ossobuco com purê de batatas, acompanhado de torradas de alho-poró.","Rua Dona Geni, 32 | Jardim Florência (Venda Nova), Belo Horizonte – MG","Segunda, das 16h às 23h | Terça, das 16h às 23h | Quarta, das 16h às 23h | Quinta, das 16h às 23h | Sexta, das 16h às 23h | Sábado, das 14h às 23h | Domingo, das 14h às 23h |",Chora canelinha,31989145104
Arcos Bar,Loja 5,"Acém cozido com ervas finas, acompanhado com batata rústica.","Rua da Bahia, 1144 | Centro, Belo Horizonte – MG","Terça, das 15h às 2h | Quarta, das 15h às 2h | Quinta, das 15h às 2h | Sexta, das 15h às 2h | Sábado, das 15h às 2h | Domingo, das 11h à 0h |",Panela da Diversidade,31984411161
Armazém Santa Amélia,,"Polenta cremosa com ragu de carnes cheio de sabor, agrião fresco, crispy de parmesão e um toque secreto para abrilhantar as Bodas de Prata do Comida di Buteco.","Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte – MG","Segunda, das 17h à 1h | Terça, das 17h à 1h | Quarta, das 17h à 1h | Quinta, das 17h à 1h | Sexta, das 17h à 1h | Sábado, das 13h à 1h | Domingo, das 13h às 22h |",Segredo do Armazém,31972174192
Avalanche Espeteria,,"Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.","Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte – MG","Segunda, das 17h à 0h | Terça, das 17h à 0h | Quarta, das 17h à 0h | Quinta, das 17h à 0h | Sexta, das 17h à 0h | Sábado, das 17h à 0h | Domingo, das 15h à 0h |",Milão Maluco,31998990146
Azougue Fogo e Bar,Loja 835,"Língua de boi assada, sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.","Rua do Ouro, 835 | Serra, Belo Horizonte – MG","Terça, das 12h às 15h e das 18h à 0h | Quarta, das 12h às 15h e das 18h à 0h | Quinta, das 12h às 15h e das 18h à 0h | Sexta, das 12h às 15h e das 18h à 0h | Sábado, das 12h às 23h | Domingo, das 12h às 17h |",Língua da vovó Virinha,31971601028
Baiuca,,"Panturrilha suína, mandioca cozida com queijo e manteiga, cebola assada e crispy de couve.","Rua Piauí, 1884 | Funcionários, Belo Horizonte – MG","Terça, das 12h às 21h30 | Quarta, das 12h às 21h30 | Quinta, das 12h às 21h30 | Sexta, das 12h às 21h30 | Sábado, das 12h às 21h30 | Domingo, das 12h às 16h |",Canelada Suína,3132255602
Bar Bambú,,Batata recheada com strogonoff de camarão.,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte – MG","Terça, das 18h às 23h30 | Quarta, das 18h às 23h30 | Quinta, das 18h às 23h30 | Sexta, das 18h às 23h30 | Sábado, das 18h às 23h30 | Domingo, das 18h às 23h30 |",Camarão que dorme?,3130521883
Bar Bendita Baderna,Loja 6,"Coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho-poró com queijo canastra.","Rua Silva Fortes, 47 | União, Belo Horizonte – MG","Segunda, das 18h à 0h | Quarta, das 18h à 0h | Quinta, das 18h à 0h | Sexta, das 18h à 0h | Sábado, das 12h à 0h | Domingo, das 12h às 18h |",PARABÉNS CDB,31991823030
Bar da Cíntia,,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.","Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte – MG","Terça, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 15h às 23h | Domingo, das 15h às 22h |",Língua bêbada,3136469725
Bar da Fia,,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.","Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte – MG","Terça, das 11h à 0h | Quarta, das 11h à 0h | Quinta, das 11h à 0h | Sexta, das 11h à 0h | Sábado, das 11h à 0h | Domingo, das 11h às 23h |",Língua no rabo,31985402775
Bar da Lu,,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.","Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte – MG","Segunda, das 18h às 23h | Quarta, das 18h às 23h | Quinta, das 18h às 23h | Sexta, das 18h às 23h | Sábado, das 12h às 22h | Domingo, das 12h às 18h |",Barril Mineiro Sô,31999327787
Bar da Silvânia,,Maçã de peito com mandioquinha e torradas de pão francês.,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte – MG","Terça, das 17h à 0h30 | Quarta, das 17h à 0h30 | Quinta, das 17h à 0h30 | Sexta, das 17h à 0h30 | Sábado, das 17h à 0h30 |","Õ trem bão, sô",31993387815
Bar do Bartolomeu,,Bolinho de rabada com catupiry e alho-poró. Acompanhado com molho da casa e molho de geleia de pimenta.,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte – MG","Terça, das 16h à 0h | Quarta, das 16h à 0h | Quinta, das 16h à 0h | Sexta, das 16h à 0h | Sábado, das 11h às 20h | Domingo, das 11h às 20h |","Bem Bolado, Uai!!",31975479909
Bar do Bem,LOJA 1 E 2,"Miolo de acém cozido na cerveja e tempero da casa, servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.","RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE – MG","Terça, das 16h às 23h | Quarta, das 16h às 23h | Quinta, das 16h às 23h | Sexta, das 16h às 23h | Sábado, das 12h às 23h | Domingo, das 12h às 17h |",A Furiosa,31991745708
